player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,ED,ATL,17,1,0,2,68.5,10,25,388,97.6,11.9,46,1,6.3,7,423,413,42,1,71.8,7,20,199,97.7,16.6,33,9.3,5,219,214,32
Matthew Slater,4467,WR,NE,2,0,0,19,60.0,0,0,0,50.0,,0,0,,0,2,1,0,0,,0,0,0,,,0,,0,0,0,0
Tyson Alualu,5535,DI,DET,5,0,0,11,52.3,1,1,82,100.0,1.2,1,0,2.4,1,86,86,3,0,55.0,1,1,28,100.0,3.6,1,3.6,0,29,29,2
Brandon Graham,5538,ED,PHI,18,0,0,24,80.2,2,23,226,91.9,19.5,44,1,7.7,5,270,248,30,0,90.0,2,17,105,94.4,29.5,31,13.8,5,124,117,24
Jason Pierre-Paul,5540,ED,MIA,2,0,0,17,51.3,0,0,8,100.0,0.0,0,0,0.0,0,8,8,0,0,55.3,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Kareem Jackson,5545,S,HST,11,0,0,13,62.8,0,0,1,0.3,100.0,1,4,0.0,0,297,1,0,0,,0,0,0,0.0,,0,,0,139,0,0
Jerry Hughes,5556,ED,HST,17,0,0,13,67.2,1,26,262,96.8,11.5,30,1,6.3,3,285,276,30,0,54.6,1,11,128,97.8,9.4,12,5.5,1,137,134,13
Linval Joseph,5571,DI,BUF,9,0,0,4,58.2,1,5,98,100.0,4.1,4,0,4.1,1,103,103,7,0,66.3,1,2,30,100.0,6.7,2,8.3,1,32,32,4
Al Woods,5646,DI,NYJ,6,0,0,22,53.0,1,0,63,100.0,1.6,1,0,2.4,1,66,66,2,0,53.2,1,0,29,100.0,3.4,1,1.7,0,30,30,1
Von Miller,6154,ED,BUF,14,0,0,4,52.7,3,14,187,92.8,6.4,12,1,4.5,0,223,207,17,0,53.2,3,9,113,93.9,8.8,10,5.3,0,132,124,12
Patrick Peterson,6157,CB,PIT,18,0,1,25,59.4,0,3,8,1.1,12.5,1,5,18.8,0,724,8,3,0,63.8,0,2,5,1.3,20.0,1,20.0,0,381,5,2
Cameron Jordan,6176,ED,NO,17,3,0,20,63.8,3,39,420,97.6,11.0,46,1,5.7,3,460,449,45,0,73.0,2,20,180,99.0,18.3,33,7.2,2,197,195,24
Cameron Heyward,6183,DI,PIT,12,1,0,25,64.8,1,18,288,100.0,9.7,28,0,4.0,2,305,305,21,0,67.2,0,10,142,100.0,11.3,16,4.9,2,152,152,12
Justin Houston,6222,ED,MIA,8,1,0,17,61.9,2,7,105,85.5,10.5,11,1,5.2,1,131,112,10,0,68.4,1,6,42,84.3,21.4,9,10.7,1,51,43,8
Lawrence Guy Sr.,6385,DI,NE,17,1,0,19,44.9,0,6,206,100.0,1.0,2,0,1.5,0,221,221,6,1,47.8,0,4,56,100.0,1.8,1,3.6,0,63,63,4
Nick Bellore,6515,LB,SEA,5,0,0,29,58.3,0,0,1,20.0,0.0,0,0,0.0,0,5,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
Fletcher Cox,7018,DI,PHI,16,2,0,24,72.2,13,28,480,100.0,11.3,54,2,5.9,8,510,510,49,1,69.3,10,18,244,100.0,12.7,31,8.2,6,261,261,34
Bruce Irvin,7021,ED,MIA,4,0,0,17,55.2,2,2,43,90.0,7.0,3,1,7.0,1,50,45,5,0,59.8,2,2,29,88.2,10.3,3,10.3,1,34,30,5
Melvin Ingram III,7024,ED,MIA,4,0,0,17,52.7,0,5,72,90.4,5.6,4,0,4.9,1,83,75,6,0,58.5,0,4,32,91.9,9.4,3,9.4,1,37,34,5
Bobby Wagner,7050,LB,SEA,17,0,0,29,75.1,2,11,75,11.6,17.3,13,1,14.0,4,696,81,17,0,74.5,1,6,48,16.2,16.7,8,13.5,3,315,51,10
Lavonte David,7060,LB,TB,17,0,2,30,70.9,0,16,86,12.6,14.0,12,4,16.3,6,720,91,22,0,74.2,0,8,37,12.0,21.6,8,18.9,3,333,40,11
Demario Davis,7079,LB,NO,17,0,1,20,73.9,3,12,75,12.1,12.0,9,1,19.3,7,645,78,22,0,68.1,1,8,53,17.9,11.3,6,16.0,4,302,54,13
Rodney McLeod,7271,S,CLV,10,0,0,8,52.5,0,1,5,2.9,0.0,0,0,10.0,0,174,5,1,0,56.6,0,1,2,2.4,0.0,0,25.0,0,84,2,1
Tashaun Gipson Sr.,7288,S,SF,19,0,1,28,52.4,0,7,17,2.2,11.8,2,5,26.5,1,820,18,8,0,46.8,0,6,9,2.2,11.1,1,33.3,0,407,9,6
Harrison Smith,7641,S,MIN,17,1,0,18,58.6,3,6,97,14.3,2.1,2,1,7.7,3,692,99,12,0,65.4,2,4,34,14.2,2.9,1,17.6,3,246,35,9
Justin Bethel,7654,CB,MIA,9,0,0,17,90.9,0,1,4,5.5,0.0,0,0,37.5,1,91,5,2,0,91.8,0,1,2,5.5,0.0,0,75.0,1,55,3,2
Johnathan Hankins,7830,DI,DAL,15,2,0,9,62.0,0,4,170,98.9,4.7,8,3,2.9,3,189,187,7,1,65.3,0,3,57,100.0,7.0,4,6.1,2,64,64,5
Tyrann Mathieu,7850,S,NO,17,1,2,20,61.5,1,4,15,2.4,0.0,0,4,16.7,0,664,16,5,0,56.5,0,4,9,2.9,0.0,0,22.2,0,313,9,4
John Jenkins,7863,DI,LV,17,2,0,23,66.7,1,13,264,100.0,6.8,18,0,3.0,1,272,272,15,0,72.0,0,9,70,100.0,15.7,11,6.4,0,73,73,9
Logan Ryan,7864,S,SF,6,0,0,28,55.4,0,0,4,2.2,0.0,0,1,0.0,0,179,4,0,0,,0,0,0,0.0,,0,,0,90,0,0
Duron Harmon,7872,S,CLV,7,0,0,8,69.4,0,1,7,4.8,0.0,0,0,21.4,1,146,7,2,0,69.6,0,0,2,3.0,0.0,0,50.0,1,66,2,1
William Gholston,7908,DI,TB,17,0,0,30,57.1,1,6,129,100.0,7.0,9,1,2.7,0,137,137,7,0,65.0,1,2,32,100.0,12.5,4,4.7,0,33,33,3
A.J. Klein,7930,LB,BUF,2,0,0,4,64.4,0,1,4,6.7,25.0,1,0,12.5,0,60,4,1,0,57.4,0,1,1,3.6,0.0,0,50.0,0,28,1,1
Micah Hyde,7941,S,BUF,16,1,0,4,60.4,1,2,16,3.2,0.0,0,0,9.4,0,593,19,3,0,52.2,0,0,3,2.2,0.0,0,0.0,0,278,6,0
Jordan Poyer,8000,S,BUF,18,0,0,4,54.1,1,5,37,6.2,8.1,3,2,10.8,1,708,44,7,0,62.0,1,2,14,5.9,21.4,3,17.9,1,339,20,4
Nick Williams,8006,DI,LAC,14,0,0,27,63.5,0,9,183,100.0,5.5,10,0,3.0,1,195,195,10,0,67.4,0,4,63,100.0,9.5,6,3.2,0,66,66,4
Mike Purcell,8530,DI,DEN,16,3,1,10,57.8,5,3,195,97.2,3.6,7,2,2.1,0,214,208,8,1,59.8,3,0,61,96.9,4.9,3,2.5,0,65,63,3
